LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1,hard,explanation_length,10,35,heldout_refit_on_rule_activations,0.9526186270100209,55.19028163442555,0.7839972477718753,1.0,1.0
gpt-4o-mini,easy,information_overload,1,40,heldout_refit_on_rule_activations,0.6572077296903585,0.3725653518287473,0.6172042032313029,1.0,1.0
gpt-4o-mini,easy,information_overload,3,40,heldout_refit_on_rule_activations,0.6853262787222516,0.3406208542139239,0.5779600312240054,1.0,1.0
gpt-4o-mini,easy,information_overload,10,40,heldout_refit_on_rule_activations,0.7078559636714734,0.32054274934342447,0.567439252326588,1.0,1.0
gpt-3.5-turbo,medium,oversimplification,1,77,heldout_refit_on_rule_activations,0.1268233206424818,0.7680880506953076,0.3743363541426359,-0.048203928114674145,0.0
gpt-3.5-turbo,medium,oversimplification,3,77,heldout_refit_on_rule_activations,0.16364371294782487,0.743068370376332,0.42483892806354734,0.7211698589973744,0.6865671641791045
gpt-3.5-turbo,medium,oversimplification,10,77,heldout_refit_on_rule_activations,0.23466904305258762,0.6755080019045199,0.4965955549882813,0.7211698589973744,0.6865671641791045
gpt-3.5-turbo,medium,framing_effect,1,28,heldout_refit_on_rule_activations,0.7792836999762304,0.5492300085826013,0.7722762113839186,0.9894077086284027,0.9920893438808748
gpt-3.5-turbo,medium,framing_effect,3,28,heldout_refit_on_rule_activations,0.7853014083894073,0.5428638833998876,0.7734299157312897,1.0,1.0
gpt-3.5-turbo,medium,framing_effect,10,28,heldout_refit_on_rule_activations,0.7940768402570707,0.5251535005584318,0.6615999022650805,1.0,1.0
llama3.1:70b,medium,explanation_length,1,25,heldout_refit_on_rule_activations,0.9371146723821501,51.62317604512744,0.2802105117112093,1.0,1.0
