LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
gpt-4o,medium,framing_effect,3,79,heldout_refit_on_rule_activations,0.8246983037287631,0.19125311480901605,0.9350533558377955,0.9997664187359196,0.999904113529581
gpt-4o,medium,framing_effect,10,79,heldout_refit_on_rule_activations,0.8365489099814154,0.1841027831342237,0.9411522989118856,1.0,1.0
llama3.1:70b,hard,gunning_fog,1,65,heldout_refit_on_rule_activations,0.6595204872471303,3.3162108288816454,0.7971924831751126,0.9997379272080759,0.999835065149266
llama3.1:70b,hard,gunning_fog,3,65,heldout_refit_on_rule_activations,0.756395247825619,2.8403388859735457,0.8379663289034543,0.9997379272080759,0.999835065149266
llama3.1:70b,hard,gunning_fog,10,65,heldout_refit_on_rule_activations,0.7640212533617861,2.784896068644877,0.8396242367153712,0.9997379272080759,0.999835065149266
gpt-4o-mini,hard,subjectivity_score_nn,1,53,heldout_refit_on_rule_activations,0.7249582577703488,0.12535514018501975,0.7713471255937134,0.9993303506598076,0.9997854997854998
gpt-4o-mini,hard,subjectivity_score_nn,3,53,heldout_refit_on_rule_activations,0.787939405665689,0.09854525203332715,0.7740332475098793,0.9993303506598076,0.9997854997854998
gpt-4o-mini,hard,subjectivity_score_nn,10,53,heldout_refit_on_rule_activations,0.7930212338271341,0.09594840079177304,0.7244824384879683,0.9993303506598076,0.9997854997854998
gpt-3.5-turbo,hard,subjectivity_score_nn,1,23,heldout_refit_on_rule_activations,0.591544053193201,0.18648779180757638,0.6747032916700219,0.9887837988311378,0.9916201117318436
gpt-3.5-turbo,hard,subjectivity_score_nn,3,23,heldout_refit_on_rule_activations,0.597360354342296,0.1844301253075282,0.6740667180308305,0.9887837988311378,0.9916201117318436
gpt-3.5-turbo,hard,subjectivity_score_nn,10,23,heldout_refit_on_rule_activations,0.5966645500178784,0.18256808291020837,0.6071199323819995,0.9931452398067935,0.9948955916473318
gpt-4o-mini,easy,information_overload,1,52,heldout_refit_on_rule_activations,0.6572077296903585,0.3725653518287473,0.6172042032313029,1.0,1.0
gpt-4o-mini,easy,information_overload,3,52,heldout_refit_on_rule_activations,0.6628201188835899,0.36787826620245795,0.5106898214783844,1.0,1.0
gpt-4o-mini,easy,information_overload,10,52,heldout_refit_on_rule_activations,0.7142969353542086,0.3091465278337686,0.5836108629662907,1.0,1.0
gpt-4o,easy,oversimplification,1,46,heldout_refit_on_rule_activations,0.16152101768333205,0.26126505638873787,0.33265785863513825,1.0,1.0
gpt-4o,easy,oversimplification,3,46,heldout_refit_on_rule_activations,0.17483038078106716,0.25741372678431,0.2100231825613113,1.0,1.0
gpt-4o,easy,oversimplification,10,46,heldout_refit_on_rule_activations,0.18256530978478724,0.25477059824748066,0.21636709876771215,1.0,1.0
llama3.1,medium,oversimplification,1,63,heldout_refit_on_rule_activations,0.19467075890617747,0.4021433060411167,0.44084802701006803,-0.05656082363048358,0.025377969762419007
llama3.1,medium,oversimplification,3,63,heldout_refit_on_rule_activations,0.2157079272471485,0.39189887382810024,0.45852556113667253,-0.05656082363048358,0.025377969762419007
llama3.1,medium,oversimplification,10,63,heldout_refit_on_rule_activations,0.23423917023873786,0.3838213680088991,0.4395287458669792,0.06459547744077816,0.0763819095477387
gpt-4o-mini,hard,framing_effect,1,41,heldout_refit_on_rule_activations,0.7297623825659503,0.1812582573987858,0.9004913600072163,0.8786573547275187,0.908774546358439
gpt-4o-mini,hard,framing_effect,3,41,heldout_refit_on_rule_activations,0.7318227728359699,0.17867255817431382,0.9021720419553286,0.8875077435234273,0.9160493827160494
gpt-4o-mini,hard,framing_effect,10,41,heldout_refit_on_rule_activations,0.7636608113069175,0.158335971210195,0.8685454894158859,0.9101613866010327,0.934207331876669
gpt-4o-mini,hard,information_overload,1,86,heldout_refit_on_rule_activations,0.419951427795379,0.5003592367843426,0.5728170212062319,0.9864746440281573,0.9985286905345758
gpt-4o-mini,hard,information_overload,3,86,heldout_refit_on_rule_activations,0.5915459802746565,0.39905686962227527,0.6616717107614931,0.9864746440281573,0.9985286905345758
gpt-4o-mini,hard,information_overload,10,86,heldout_refit_on_rule_activations,0.6106630972434083,0.3800839270727931,0.6924616519907736,1.0,1.0
gpt-3.5-turbo,hard,gunning_fog,1,43,heldout_refit_on_rule_activations,0.029953502245070762,3.6742757760831015,0.19033405156064823,0.08095035805878775,0.14473684210526316
gpt-3.5-turbo,hard,gunning_fog,3,43,heldout_refit_on_rule_activations,0.3943931986932424,3.1090587486929655,0.3626652878742399,1.0,1.0
gpt-3.5-turbo,hard,gunning_fog,10,43,heldout_refit_on_rule_activations,0.44755554186119284,2.9182963423002213,0.45683620899046756,1.0,1.0
llama3.1,hard,explanation_length,1,51,heldout_refit_on_rule_activations,0.9039400256202741,84.5087861699122,0.3578335401194408,1.0,1.0
llama3.1,hard,explanation_length,3,51,heldout_refit_on_rule_activations,0.941866330444985,76.56321381169424,0.357855023844836,1.0,1.0
llama3.1,hard,explanation_length,10,51,heldout_refit_on_rule_activations,0.9514763716406979,56.46529103700987,0.7721066231626043,1.0,1.0
gpt-4o-mini,medium,framing_effect,1,34,heldout_refit_on_rule_activations,0.7377418247592177,0.19966876919269347,0.9083485411228723,0.9979904587625774,0.9986313868613139
gpt-4o-mini,medium,framing_effect,3,34,heldout_refit_on_rule_activations,0.7416707548668873,0.19631870993352957,0.9118562859290601,0.9996650789322029,0.9998927613941019
gpt-4o-mini,medium,framing_effect,10,34,heldout_refit_on_rule_activations,0.7727822757488918,0.1680797502691973,0.9152576598776784,0.9996650789322029,0.9998927613941019
